DIVIPOLA;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;FASE;METODO;COORD;INICIO
23;CÓRDOBA;23807;TIERRALTA;2;MIXTO;CÓRDOBA;SI
41;HUILA;41807;TIMANÁ;2;BARRIDO;HUILA;SI
19;CAUCA;19807;TIMBÍO;2;BARRIDO;CAUCA;SI
15;BOYACÁ;15808;TINJACÁ;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15810;TIPACOQUE;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15814;TOCA;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15816;TOGÜÍ;2;BARRIDO;BOYACÁ;SI
70;SUCRE;70823;TOLÚ VIEJO;2;BARRIDO;SUCRE;SI
15;BOYACÁ;15820;TÓPAGA;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19821;TORIBÍO;2;BARRIDO;CAUCA;SI
15;BOYACÁ;15822;TOTA;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19824;TOTORÓ;2;BARRIDO;CAUCA;SI
85;CASANARE;85430;TRINIDAD;2;BARRIDO;CASANARE;SI
23;CÓRDOBA;23815;TUCHÍN;2;BARRIDO;CÓRDOBA;NO
